Date;Time;"Celle 5: Lufttemperatur";"Celle 5: Endelig fælles varme sætpunkt";"Celle 5: Vent. position 1";"Celle 5: Vent. position 2";"Celle 5: Luftfugtighed RH%";"Celle 5: Luftfugtighed VPD";"Celle 5: CO2";"Celle 5: CO2 krav";"Celle 5: CO2 dosering";"Celle 5: ";"Celle 5: ";"Celle 5: Lys intensitet";"Celle 5: Gardin 1 position";"Celle 5: Solindstråling";"Celle 5: Udetemperatur";"Celle 5: Flow temperatur 1";"Celle 5: Flow temperatur 2"
2014-01-01;09:30:00;;;;;;;;;;;;;;;;;
2014-01-01;09:40:00;;;;;;;;;;;;;;;;;
2014-01-01;09:50:00;;;;;;;;;;;;;;;;;
2014-01-01;10:00:00;;;;;;;;;;;;;;;;;
2014-01-01;10:10:00;;;;;;;;;;;;;;;;;
2014-01-01;10:20:00;;;;;;;;;;;;;;;;;
2014-01-01;10:30:00;;;;;;;;;;;;;;;;;
2014-01-01;10:40:00;;;;;;;;;;;;;;;;;
2014-01-01;10:50:00;;;;;;;;;;;;;;;;;
2014-01-01;11:00:00;;;;;;;;;;;;;;;;;
2014-01-01;11:10:00;;;;;;;;;;;;;;;;;
2014-01-01;11:20:00;;;;;;;;;;;;;;;;;
2014-01-01;11:30:00;;;;;;;;;;;;;;;;;
2014-01-01;11:40:00;;;;;;;;;;;;;;;;;
2014-01-01;11:50:00;;;;;;;;;;;;;;;;;
2014-01-01;12:00:00;;;;;;;;;;;;;;;;;
2014-01-01;12:10:00;;;;;;;;;;;;;;;;;
2014-01-01;12:20:00;;;;;;;;;;;;;;;;;
2014-01-01;12:30:00;;;;;;;;;;;;;;;;;
2014-01-01;12:40:00;;;;;;;;;;;;;;;;;
2014-01-01;12:50:00;;;;;;;;;;;;;;;;;
2014-01-01;13:00:00;;;;;;;;;;;;;;;;;
2014-01-01;13:10:00;;;;;;;;;;;;;;;;;
2014-01-01;13:20:00;;;;;;;;;;;;;;;;;
2014-01-01;13:30:00;;;;;;;;;;;;;;;;;
2014-01-01;13:40:00;;;;;;;;;;;;;;;;;
2014-01-01;13:50:00;;;;;;;;;;;;;;;;;
2014-01-01;14:00:00;;;;;;;;;;;;;;;;;
2014-01-01;14:10:00;;;;;;;;;;;;;;;;;
2014-01-01;14:20:00;;;;;;;;;;;;;;;;;
2014-01-01;14:30:00;;;;;;;;;;;;;;;;;
2014-01-01;14:40:00;;;;;;;;;;;;;;;;;
2014-01-01;14:50:00;;;;;;;;;;;;;;;;;
2014-01-01;15:00:00;;;;;;;;;;;;;;;;;
2014-01-01;15:10:00;;;;;;;;;;;;;;;;;
2014-01-01;15:20:00;;;;;;;;;;;;;;;;;
2014-01-01;15:30:00;;;;;;;;;;;;;;;;;
2014-01-01;15:40:00;;;;;;;;;;;;;;;;;
2014-01-01;15:50:00;;;;;;;;;;;;;;;;;
2014-01-01;16:00:00;;;;;;;;;;;;;;;;;
2014-01-01;16:10:00;;;;;;;;;;;;;;;;;
2014-01-01;16:20:00;;;;;;;;;;;;;;;;;
2014-01-01;16:30:00;;;;;;;;;;;;;;;;;
2014-01-01;16:40:00;;;;;;;;;;;;;;;;;
2014-01-01;16:50:00;;;;;;;;;;;;;;;;;
2014-01-01;17:00:00;;;;;;;;;;;;;;;;;
2014-01-01;17:10:00;;;;;;;;;;;;;;;;;
2014-01-01;17:20:00;;;;;;;;;;;;;;;;;
2014-01-01;17:30:00;;;;;;;;;;;;;;;;;
2014-01-01;17:40:00;;;;;;;;;;;;;;;;;
2014-01-01;17:50:00;;;;;;;;;;;;;;;;;
2014-01-01;18:00:00;;;;;;;;;;;;;;;;;
2014-01-01;18:10:00;;;;;;;;;;;;;;;;;
2014-01-01;18:20:00;;;;;;;;;;;;;;;;;
2014-01-01;18:30:00;;;;;;;;;;;;;;;;;
2014-01-01;18:40:00;;;;;;;;;;;;;;;;;
2014-01-01;18:50:00;;;;;;;;;;;;;;;;;
2014-01-01;19:00:00;;;;;;;;;;;;;;;;;
2014-01-01;19:10:00;;;;;;;;;;;;;;;;;
2014-01-01;19:20:00;;;;;;;;;;;;;;;;;
2014-01-01;19:30:00;;;;;;;;;;;;;;;;;
2014-01-01;19:40:00;;;;;;;;;;;;;;;;;
2014-01-01;19:50:00;;;;;;;;;;;;;;;;;
2014-01-01;20:00:00;;;;;;;;;;;;;;;;;
2014-01-01;20:10:00;;;;;;;;;;;;;;;;;
2014-01-01;20:20:00;;;;;;;;;;;;;;;;;
2014-01-01;20:30:00;;;;;;;;;;;;;;;;;
2014-01-01;20:40:00;;;;;;;;;;;;;;;;;
2014-01-01;20:50:00;;;;;;;;;;;;;;;;;
2014-01-01;21:00:00;;;;;;;;;;;;;;;;;
2014-01-01;21:10:00;;;;;;;;;;;;;;;;;
2014-01-01;21:20:00;;;;;;;;;;;;;;;;;
2014-01-01;21:30:00;;;;;;;;;;;;;;;;;
2014-01-01;21:40:00;;;;;;;;;;;;;;;;;
